task,user,precision,recall,F1,support,study,hidden
run-blue,002,0.927080926745,0.335890673699,0.482528302974,,studyA,none
run-blue,017,0.867824580487,0.997362742748,0.928074257086,,studyA,none
run-blue,013,0.881160171652,0.643730520259,0.739665727587,,studyA,none
run-blue,028,0.857256072951,0.790937425078,0.813598589251,,studyA,none
run-blue,044,0.856832415347,0.999040997363,0.922412747056,,studyA,none
run-blue,025,0.893229071785,0.998321745385,0.942287181345,,studyA,none
run-blue,040,0.760066045946,0.923279789019,0.831773909249,,studyA,none
run-blue,033,0.942744740275,0.574682330376,0.705106751898,,studyA,none
run-blue,038,0.816034028692,0.379285543035,0.513698248595,,studyA,none
run-blue,011,0.836674774631,1.0,0.910728732286,,studyA,none
run-blue,007,0.927247534259,0.999520498681,0.961983174208,,studyA,none
run-blue,022,0.934048822406,0.997842244066,0.964715127561,,studyA,none
run-yellow,002,0.0,0.0,0.0,,studyA,video
run-yellow,017,0.0,0.0,0.0,,studyA,video
run-yellow,013,0.883563440096,0.99609375,0.935338146672,,studyA,video
run-yellow,028,0.888569864731,0.99365234375,0.935992015069,,studyA,video
run-yellow,044,0.836830950046,0.99951171875,0.90814132113,,studyA,video
run-yellow,025,0.849378337641,0.99755859375,0.915087597281,,studyA,video
run-yellow,040,0.772088345561,1.0,0.866722699986,,studyA,video
run-yellow,033,0.910288087503,0.98291015625,0.944730404775,,studyA,video
run-yellow,038,0.694013805497,1.0,0.815990698477,,studyA,video
run-yellow,011,0.829633568929,1.0,0.903780742071,,studyA,video
run-yellow,007,0.702418583716,0.996337890625,0.823428690558,,studyA,video
run-yellow,022,0.850724584657,0.999267578125,0.918952772742,,studyA,video
run-red,002,0.962736585205,0.463547334059,0.56378337271,,studyA,data
run-red,017,0.968357175818,0.304896626768,0.448813013097,,studyA,data
run-red,013,0.995718415106,0.292927094668,0.444354974308,,studyA,data
run-red,028,0.997207109177,0.225027203482,0.367163921894,,studyA,data
run-red,044,0.952202139452,0.45027203482,0.611048230329,,studyA,data
run-red,025,0.958693630571,0.431773667029,0.594206032661,,studyA,data
run-red,040,0.967482355917,0.208922742111,0.343629325275,,studyA,data
run-red,033,0.974748740046,0.437431991295,0.60367877529,,studyA,data
run-red,038,0.949015407291,0.289009793254,0.432376268862,,studyA,data
run-red,011,0.942953129408,0.19042437432,0.316674986684,,studyA,data
run-red,007,0.920354683164,0.453971708379,0.607981248132,,studyA,data
run-red,022,0.994216415809,0.439825897715,0.6097307723,,studyA,data
pill-blue,002,0.992285704168,0.694862248697,0.747623207828,,studyA,none
pill-blue,017,0.970264570572,0.747877885331,0.844150671455,,studyA,none
pill-blue,013,0.983739822647,0.990915860015,0.987306350449,,studyA,none
pill-blue,028,0.9879552279,0.987639612807,0.987793682404,,studyA,none
pill-blue,044,0.968022043274,0.998957557707,0.983230697973,,studyA,none
pill-blue,025,0.974615943896,1.0,0.987140992403,,studyA,none
pill-blue,040,0.964106269369,1.0,0.981725152496,,studyA,none
pill-blue,033,0.992830120658,0.984810126582,0.988797979888,,studyA,none
pill-blue,038,0.982241848646,0.996723752792,0.989429780708,,studyA,none
pill-blue,011,0.953575008798,1.0,0.976233150947,,studyA,none
pill-blue,007,0.989958133631,0.997319434103,0.9936221708,,studyA,none
pill-blue,022,0.994444490178,0.98495904691,0.989656410687,,studyA,none
pill-red,002,1.0,0.89432136491,0.941027534437,,studyA,video
pill-red,017,0.831557570827,0.82174688057,0.78921263294,,studyA,video
pill-red,013,0.966439972858,0.95670995671,0.961510040107,,studyA,video
pill-red,028,0.987832481717,0.976317799847,0.981973469711,,studyA,video
pill-red,044,0.956857451758,0.988795518207,0.972563988908,,studyA,video
pill-red,025,0.813468351365,0.990832696715,0.871991777717,,studyA,video
pill-red,040,0.937158296035,0.959256429845,0.947363537292,,studyA,video
pill-red,033,0.993884139074,0.936338171632,0.962986754467,,studyA,video
pill-red,038,0.977085671087,0.989814107461,0.983404753713,,studyA,video
pill-red,011,0.954977964878,0.972243442832,0.963512337116,,studyA,video
pill-red,007,0.995736132685,0.699261522791,0.816560911374,,studyA,video
pill-red,022,0.993090197769,0.977336389101,0.985123261402,,studyA,video
pill-orange,002,0.338890653648,0.342209856916,0.340542167555,,studyA,data
pill-orange,017,0.885151872896,0.77146263911,0.800497419393,,studyA,data
