task,user,correct,mislabelled,off,wrong,missed,ghosts,explosions,hiccups,dropped,merged,num-user-labels,num-gold-labels,study,hidden,total-labels,minus-ghost,internal-accuracy,% complete,% correct,% mislabelled,% off,% wrong,% missed,% ghosts,saw,task-type
run-blue,2,1,0,2,0,5,0,0,0,0,0,3,8,studyA,none,8,8,0.3333333333,0.375,0.125,0,0.25,0,0.625,0,both,running
run-blue,17,3,0,5,0,0,0,0,0,0,0,8,8,studyA,none,8,8,0.375,1,0.375,0,0.625,0,0,0,both,running
run-blue,13,2,0,3,0,3,0,0,0,0,0,5,8,studyA,none,8,8,0.4,0.625,0.25,0,0.375,0,0.375,0,both,running
run-blue,28,1,0,6,0,1,0,0,0,0,0,7,8,studyA,none,8,8,0.1428571429,0.875,0.125,0,0.75,0,0.125,0,both,running
run-blue,44,4,0,4,0,0,0,0,0,0,0,8,8,studyA,none,8,8,0.5,1,0.5,0,0.5,0,0,0,both,running
run-blue,25,5,0,3,0,0,0,0,0,0,0,8,8,studyA,none,8,8,0.625,1,0.625,0,0.375,0,0,0,both,running
run-blue,40,2,0,5,1,0,0,0,0,0,0,8,8,studyA,none,8,8,0.25,1,0.25,0,0.625,0.125,0,0,both,running
run-blue,33,2,0,3,0,3,0,0,0,0,0,5,8,studyA,none,8,8,0.4,0.625,0.25,0,0.375,0,0.375,0,both,running
run-blue,38,0,0,3,0,5,0,0,0,0,0,3,8,studyA,none,8,8,0,0.375,0,0,0.375,0,0.625,0,both,running
run-blue,11,2,0,6,0,0,0,0,0,0,0,8,8,studyA,none,8,8,0.25,1,0.25,0,0.75,0,0,0,both,running
run-blue,7,8,0,0,0,0,0,0,0,0,0,8,8,studyA,none,8,8,1,1,1,0,0,0,0,0,both,running
run-blue,22,7,0,1,0,0,0,0,0,0,0,8,8,studyA,none,8,8,0.875,1,0.875,0,0.125,0,0,0,both,running
run-yellow,2,0,4,0,4,0,0,0,0,1,0,8,8,studyA,video,8,8,0,1,0,0.5,0,0.5,0,0,data,running
run-yellow,17,0,3,0,5,0,0,0,0,1,0,8,8,studyA,video,8,8,0,1,0,0.375,0,0.625,0,0,data,running
run-yellow,13,5,0,3,0,0,0,0,0,0,0,8,8,studyA,video,8,8,0.625,1,0.625,0,0.375,0,0,0,data,running
run-yellow,28,6,0,2,0,0,0,0,0,1,0,8,8,studyA,video,8,8,0.75,1,0.75,0,0.25,0,0,0,data,running
run-yellow,44,3,0,5,0,0,0,0,0,1,0,8,8,studyA,video,8,8,0.375,1,0.375,0,0.625,0,0,0,data,running
run-yellow,25,3,0,5,0,0,0,0,0,1,0,8,8,studyA,video,8,8,0.375,1,0.375,0,0.625,0,0,0,data,running
